CIC	IDC	TIPO_COMUNICACION	FECHA_INICIO	FECFINVIGENCIA	NROTARJETA	CODMONEDAOFERTA	MTOAMPLIACION	MTOLINEA	TELEFONO	EMAIL	MENSAJE1	MENSAJE2	MENSAJE3	FLG_CONSENTIMIENTO	FECACTUALIZACIONTABLA
17769728	    04365435	SMS	01/01/20	31/01/20	3dceb045ba630838437fde6992efc7d9fbffb1d85471ba5af5f71bb7eb168d88	0001	1810		TBAJTUKBZ	JCHUMPITAZ@ABC.COM.PE	MSG1CP01Tenemos un adelanto de suelto para ti 45571111 L a V 083000AM a 052959PM  Ingresa a Ads			S	25/03/20
17769728	    09409084	SMS	01/01/20	31/01/20	0b23956e03325cdf5c137f0aba8e9e255a7f11903abbad1a19455cd1a0c57d16	0001	2500		TBAJTUKBZ / TBAJTUKBZ	JCHUMPITAZ@ABC.COM.PE / JCHUMPITAZ@ABC.COM.PE	MSG1CP02Tenemos un adelanto de suelto para ti 45571112 L a V 053000PM a 100000PM Ingresa a Ads			S	25/03/20
17769728	    04365435	SMS	01/01/20	31/01/20	a933e347b42231f7af97a18c3f80349b7966a8c1ed0120a9510b683ae29a1cfb	0001	1810		TBAJTUKBZ	JCHUMPITAZ@ABC.COM.PE	MSG1CP03Tenemos un adelanto de suelto para ti 45571113 Sab 083000AM a 122959PM Ingresa a Ads			S	25/03/20
17769728	    09409084	SMS	01/01/20	31/01/20	eb64fb6368590297dc216798d123b620f273ece7705960e0b438069a6d00bfc2	0001	2500		TBAJTUKBZ	JCHUMPITAZ@ABC.COM.PE	MSG1CP04Tenemos un adelanto de suelto para ti 45571114 Sab 123000PM a 100000PM Ingresa a Ads			S	25/03/20
17769728	    09409084	SMS	01/01/20	31/01/20	e31d2e7977c8bae01d1a9f967017ffb8fb50e5d7c00c0b5a09b436885a2578ce	0001	2500		NULL	JCHUMPITAZ@ABC.COM.PE	MSG1CP05Tenemos un adelanto de suelto para ti 45571115 Dom 083000AM a 103000PM Ingresa a Ads			S	25/03/20
17769728	    04365435	SMS	01/01/20	31/01/20	d17fc3af1be5fd3b751eca72a34281d05c786428410322ed5fdab0bf8d14803d	0001	1810		TBAJTUKBZ	JCHUMPITAZ@ABC.COM.PE	MSG1CP06Tenemos un adelanto de suelto para ti 45571116 L a V Fuera Horario establecido Ingresa a Ads			S	25/03/20
17769728	    09409084	SMS	01/01/20	31/01/20	ab7e9bfbe9b33b85b11f18af5c84197a0ea08fb0dbad3464077abc2f4b6b1a64	0001	2500		TBAJTUKBZ	JCHUMPITAZ@ABC.COM.PE	MSG1CP07Tenemos un adelanto de suelto para ti 45571117 Sab Fuera Hora establecida Ingresa a Ads			S	25/03/20
17769728	    04365435	SMS	01/01/20	31/01/20	54ad180217f14548a0c3514b066928cd3d3a8c81b90d4fd19938cc5137a9cb08	0001	1810		TKBKAAZAO / TKBKAAZAO / TJCBKKJOF	JCHUMPITAZ@ABC.COM.PE	MSG1CP08Tenemos un adelanto de suelto para ti 45571118 Dom Fuera Hora establecida Ingresa a Ads			S	25/03/20
17769728	    09409084	SMS	01/01/20	31/01/20	a1c0a376249231b9e1a7cc489fbfef945f905abb7d5baf990ade59586cbaac5b	0001	2500		TBAJTUKBZ	JCHUMPITAZ@ABC.COM.PE	MSG1CP09Tenemos un adelanto de suelto para ti 45571119 L a V En Hora establecida Ingresa a Ads			S	25/03/20
17769728	    09409084	SMS	01/01/20	31/01/20	119a0b4f4fa5ebd0d63a239f6b3eeabc7376d4634c3531670f16063ea733abb5	0001	2500		TBAJTUKBZ	JCHUMPITAZ@ABC.COM.PE	MSG1CP10Tenemos un adelanto de suelto para ti 45571120 L a V En Hora establecida Ingresa a Ads			S	25/03/20
